DATE,ANNA426MFG
2005-07-01,20.300237073740398
2005-08-01,21.9321026138081
2005-09-01,22.1839263612945
2005-10-01,22.2822269719093
2005-11-01,22.2553152331028
2005-12-01,22.1631360400913
2006-01-01,21.994648231988897
2006-02-01,21.7584735162077
2006-03-01,21.267386091416302
2006-04-01,21.80444247059
2006-05-01,21.149160926224397
2006-06-01,21.1971452809825
2006-07-01,19.5722950835783
2006-08-01,21.0767720042943
2006-09-01,20.9478291470501
2006-10-01,20.6085994264895
2006-11-01,20.8701401046952
2006-12-01,20.171779189682397
2007-01-01,19.961910346377397
2007-02-01,19.7646187890102
2007-03-01,19.7022651323452
2007-04-01,19.4499351022175
2007-05-01,19.293012547241897
2007-06-01,19.1145877127965
2007-07-01,18.367345875376802
2007-08-01,18.7247455099197
2007-09-01,18.6262865204501
